name,ring,quadrant,isNew,description
Virtual Reality with TechViz solution,Adopted,tools,TRUE,"Use the Software solution Techviz with Virtual Reality Device . Techviz Solution  is a plug&play solution : What you see on your application ( Catia, Creo, Creoview, CAE, …) , will be brodacast in the VR device . No conversion, No data preparation . 
Collaborative Mode allow to work on the same virtual environment from different localisations.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/ARVR%20View.aspx>Scouting Report</a>"
"Virtual Reality with VRed solution
",Adopted,tools,TRUE,"Use the power of VRed (Visualisation 3D Autodesk) with Virtual Reality Device .
VRed has already reach a high level of maturity. Used  for realistic rendering.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/ARVR%20View.aspx>Scouting Report</a>"
LPWAN (IoT),Adopted,techniques,TRUE,"This technology is a type of communication network.
The energy needed to use this kind of communication network is really low.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/IoT%20view.aspx>Scouting Report</a>"
ThingWorx (IoT),trial,platforms,TRUE,"Thingworx is an IoT platform made by PTC.
An instance of this platform is installed on Premise (at Goteborg).
For now, we have only test licences, because we are in a consultation process (RFP on going) for the IoT reference platform for Volvo group.
Thingworx is also the best platform for Augmented reality solutions. 
<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/IoT%20view.aspx>Scouting Report</a>"
Augmented Reality,trial,platforms,TRUE,"Used the augmented reality technology to add digital information to the reality for users  (Example : Virtual data, 3D models, instruction manuals, …)  . 
The device could be glasses (Hololens, Google Glass, ….) or Smartphone/Tablet.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/ARVR%20View.aspx>Scouting Report</a>"
IBM API Connect,trial,platforms,TRUE,"API Management platform from IBM to:
Publish APIs on API gateway
Advertise APIs on API Developer portal<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Integration%20View.aspx>Scouting Report</a>"
Istaging (VR),assess,techniques,TRUE,Usage of VR devices for 360 cab view of the Trucks and display some variant description.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/ARVR%20View.aspxx>Scouting Report</a>
To be filled,hold,tools,TRUE,
BeaconBLE (IoT),trial,techniques,TRUE,Bluetooth beacons broadcast their identifier to nearby devices. The technology enables other devices to perform actions when in close proximity to a beacon. The identifier (and several bytes sent with it) can be used to determine the device's physical location.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/IoT%20view.aspx>Scouting Report</a>
Layar (AR),assess,techniques,TRUE,Augmented Reality to use on Renault Trucks Commercial leafset to provide information of the trucks and links to tools provided by Renault Trucks.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/ARVR%20View.aspx>Scouting Report</a>
Machine Learning,trial,techniques,TRUE,"Machine learning is an application of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed.
<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/AI%20View.aspx>Scouting Report</a>"
Genetic Algorithm,trial,techniques,TRUE,"A Genetic Algorithm (GA) is a method to get high quality solution to optimization and search problems inspired by the process of natural selection.
A Genetic Algorithm belongs a larger set of optimization method called Evolutionary Algorithm (EA)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/AI%20View.aspx>Scouting Report</a>"
API Management,trial,techniques,TRUE,"API management allows, though API developer portal, to advertise around information that Business Partners (dealers, suppliers, fleet managers, state, ect.) could consume through APIs.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Integration%20View.aspx>Scouting Report</a>"
IoT_Lab (IoT),trial,languages & frameworks,TRUE,"IoT_Lab is a Volvo Framework. The goal is to be able to quickly build IoT solutions in the Volvo context.
For now, most of the work is done on a hardware platform based on a specific microcontroller : ESP32.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/IoT%20view.aspx>Scouting Report</a>"
Blockchain,trial,platforms,TRUE,"Blockchain is a peer-to-peer distributed ledger, forged by consensus, combined with a system for smart contracts and other assistive technologies. Together, these can be used to build a new generation of transactional applications that establish trust, accountability, and transparency at their core, while streamlining business processes and legal constraints.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Blockchain%20View.aspx>Scouting Report</a>"
SAP Leornardo (IoT),trial,platforms,TRUE,"VCE test SAP IoT suite connected to a factory in Korea (Changwon). It includes sensors on shot blaster, infrastructure to send sensor information to SAP Cloud Platform (Leonardo) and analysis of data into PDMS (Predictive maintenance solution) + Machine learning and reporting solution (SAP Analytic  Cloud).<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/IoT%20view.aspx>Scouting Report</a>"
UX Innovation lab,Adopted,techniques,TRUE,"UX Innovation lab aligns all stakeholders in a new initiative towards the intended business impact, prioritized users and initial concept design.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/UX%20View.aspx>Scouting Report</a>"
SAP Cloud Integration platform/CPI,Adopted,platforms,TRUE,"SAP Cloud Platform Integration supports end-to-end process integration across cloud-based and on-premise applications based on the exchange of messages.It comes with a set of tools that enable to design integration content and monitor the processing of messages in a easy and user-friendly way.
<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
SAP Build/Design Thinking,Adopted,tools,TRUE,"SAP Build is a set of cloud-based tools to design and build SAP enterpise app.
It contains Fiori based templates, design thinking learning content, tool for creating your own high-fidelity prototypes, ability to collect feedback from users and possibility to export the prototype into development tool for easier deployment.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
ChatBot,trial,techniques,TRUE,"Chatbots are a new way to engage with your audience and drive conversations within various messengers.
A chatbot is an artificial intelligence (AI) program that simulates interactive human conversation by using key pre-calculated user phrases and auditory or text-based signals. Chatbots are frequently used for basic customer service and marketing systems that frequent social networking hubs and instant messaging (IM) clients. They are also often included in operating systems as intelligent virtual assistants.
A chatbot is also known as an artificial conversational entity (ACE), chat robot, talk bot, chatterbot or chatterbox.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/AI%20View.aspx>Scouting Report</a>"
Robotic process automation (RPA),Adopted,platforms,TRUE,"Robotic process automation (RPA) is the application of technology that allows to configure a “soft robot” to capture and interpret existing applications for processing a transaction, manipulating data, triggering responses and communicating with other digital systems.
<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/RPA%20View.aspx>Scouting Report</a>"
Cloud Messaging,trial,techniques,TRUE,Cloud Messaging helps application hosted on cloud to asynchronously send and receive messages.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Integration%20View.aspx>Scouting Report</a>
Streaming,assess,techniques,TRUE,To send large volume of small messages. <br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Integration%20View.aspx>Scouting Report</a>
Cloud Automation_IAC - Ansible_Ansible Tower,Adopted,tools,TRUE,"Ansible Tower is a web-based solution that makes Ansible even more easy to use for IT teams of all kinds. It’s designed to be the hub for all of your automation tasks. Ansible is open source software that automates software provisioning, configuration management, and application deployment.
Both are enable for Infrastructure As Code. (wiki)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
Cloud Automation_IAC -Terraform,trial,tools,TRUE,"Terraform is an infrastructure as code software by HashiCorp. It allows users to define a datacentre infrastructure in a high-level configuration language, from which it can create an execution plan to build the infrastructure in a service provider like Azure or AWS independently. (wiki)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
Cloud Automation_IAC - ManageIQ_Cloudforms,trial,tools,TRUE,"ManageIQ is an open source cloud management platform. It was founded by Red Hat as a community project in 2014, and forms the basis for its Cloudforms product. It allows centralized management of various virtualization, private cloud, public cloud, containers, and software defined networking technologies.
Allows for easy creating marketplace for hybrid Cloud. (wiki)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
Cloud Automation_IAC - ELK,Adopted,tools,TRUE,"""ELK"" is the acronym for three open source projects: Elasticsearch, Logstash, and Kibana. Elasticsearch is a search and analytics engine. Logstash is a server‑side data processing pipeline that ingests data from multiple sources simultaneously, transforms it, and then sends it to a ""stash"" like Elasticsearch. Kibana lets users visualize data with charts and graphs in Elasticsearch. (wiki)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
Cloud Foundations - OpenStack,Adopted,tools,TRUE,"OpenStack is a free and open-source software platform for cloud computing, mostly deployed as infrastructure-as-a-service (IaaS), whereby virtual servers and other resources are made available to customers.
The software platform consists of interrelated components that control diverse, multi-vendor hardware pools of processing, storage, and networking resources throughout a datacentre. (wiki)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
Cloud Foundations - VMware NSX,assess,tools,TRUE,VMware NSX is the VMware SDN network virtualization and security platform that emerged from VMware after they acquired Nicira in 2012. This acquisition launched VMware into the software-defined networking (SDN)  and network functions virtualization (NFV) world.<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>
Cloud Foundations - Ceph,trial,tools,TRUE,"Red Hat® Ceph Storage is an open, massively scalable storage solution for modern workloads like cloud infrastructure, data analytics, media repositories, and backup and restore systems. (wiki)<br />This as one example of foundation for Software Defined Storage (SDS)<br />History: Will coming soon<br /><a href=http://teamplace-premium.volvo.com/sites/CR-GTO/Dare/Lists/Scouting%20Reports/Cloud%20view.aspx>Scouting Report</a>"
